Team,Position,Pld,W,D,L,GF,GA,GD,points
FC Barcelona,1,37,28,4,5,69,18,51,88
Real Madrid,2,37,24,5,8,74,35,39,77
Atlético de Madrid,3,37,23,7,7,68,31,37,76
Real Sociedad,4,37,20,8,9,49,34,15,68
Villarreal CF,5,37,19,6,12,57,38,19,63
Real Betis,6,37,17,8,12,45,40,5,59
Athletic Club,7,37,14,8,15,46,42,4,50
CA Osasuna,8,37,14,8,15,35,41,-6,50
RCD Mallorca,12,37,13,8,16,34,43,-9,47
Rayo Vallecano,10,37,13,10,14,45,50,-5,49
Sevilla FC,11,37,13,10,14,46,52,-6,49
Girona FC,9,37,13,10,14,57,53,4,49
UD Almería,17,37,11,7,19,46,62,-16,40
Valencia CF,13,37,11,8,18,41,44,-3,41
Real Valladolid CF,18,37,11,6,20,33,63,-30,39
RC Celta,16,37,10,10,17,41,52,-11,40
Getafe CF,14,37,10,11,16,34,45,-11,41
Cádiz CF,15,37,10,11,16,29,52,-23,41
RCD Espanyol de Barcelona,19,37,8,12,17,49,66,-17,36
Elche CF,20,37,5,9,23,29,66,-37,24
